player_slug,player_id,full_name,nationality,position,date_of_birth,age,market_value,contract_expires,current_team,team_name,league
courtois-thibaut,MVExOq3n,Thibaut Courtois,BE,Goalkeeper,,,,,(Real Madrid),Real Madrid,la_liga
alaba-david,hKx3nCTp,David Alaba,AT,Defender,,,,,(Real Madrid),Real Madrid,la_liga
alexander-arnold-trent,CEVJy6Bc,Trent Alexander-Arnold,EN,Defender,,,,,(Real Madrid),Real Madrid,la_liga
asencio-raul,rPco96rl,Raul Asencio,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
carreras-alvaro,ALGEzlma,Alvaro Carreras,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
carvajal-daniel,rZh5FTHE,Daniel Carvajal,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
eder-militao,zX2Rm9YG,Eder Militao,BR,Defender,,,,,(Real Madrid),Real Madrid,la_liga
fran-garcia,tURBbW9S,Fran Garcia,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
huijsen-dean,2V3qUZAd,Dean Huijsen,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
jimenez-david,6VlzPhd1,David Jimenez,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
mendy-ferland,KnytnSKl,Ferland Mendy,FR,Defender,,,,,(Real Madrid),Real Madrid,la_liga
rudiger-antonio,rZHXvTho,Antonio Rudiger,DE,Defender,,,,,(Real Madrid),Real Madrid,la_liga
victor-valdepenas,vqc9f0mJ,Victor Valdepenas,ES,Defender,,,,,(Real Madrid),Real Madrid,la_liga
bellingham-jude,QNvlPm7s,Jude Bellingham,EN,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
camavinga-eduardo,6ekYsPfO,Eduardo Camavinga,FR,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
ceballos-dani,zPYmze7F,Dani Ceballos,ES,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
cestero-sancho-jorge,YmPHScjk,Jorge Cestero Sancho,ES,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
diaz-brahim,nm2Qvnyk,Brahim Diaz,MA,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
guler-arda,CUU9qDpb,Arda Guler,TR,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
tchouameni-aurelien,QkiZum3e,Aurelien Tchouameni,FR,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
valverde-federico,nscfER6B,Federico Valverde,UY,Midfielder,,,,,(Real Madrid),Real Madrid,la_liga
garcia-gonzalo,pWxyEyDA,Gonzalo Garcia,ES,Forward,,,,,(Real Madrid),Real Madrid,la_liga
mastantuono-franco,tpBPaidM,Franco Mastantuono,AR,Forward,,,,,(Real Madrid),Real Madrid,la_liga
mbappe-kylian,Wn6E2SED,Kylian Mbappe,FR,Forward,,,,,(Real Madrid),Real Madrid,la_liga
rodrygo,zPUyR5Up,Rodrygo,BR,Forward,,,,,(Real Madrid),Real Madrid,la_liga
vinicius-junior,CbwQ4Mws,Vinicius Junior,BR,Forward,,,,,(Real Madrid),Real Madrid,la_liga
arbeloa-alvaro,CO9bjrLo,Alvaro Arbeloa,ES,Coach,,,,,(Real Madrid),Real Madrid,la_liga
lunin-andriy,0S7ye9jr,Andriy Lunin,UA,Goalkeeper,,,,,(Real Madrid),Real Madrid,la_liga
