league,season,rows,date_min,date_max,avg_total_goals,home_win_rate,draw_rate,away_win_rate
bundesliga,0001,306,2000-08-11,2001-05-19,2.931,0.5229,0.2255,0.2516
bundesliga,0102,306,2001-07-28,2002-05-04,2.918,0.5229,0.2222,0.2549
bundesliga,0203,306,2002-08-09,2003-05-24,2.683,0.4706,0.2516,0.2778
bundesliga,0304,306,2003-08-01,2004-05-22,2.971,0.5229,0.2353,0.2418
bundesliga,0405,306,2004-08-06,2005-05-21,2.908,0.4869,0.2124,0.3007
bundesliga,0506,306,2005-08-05,2006-05-13,2.814,0.4281,0.3137,0.2582
bundesliga,0607,306,2006-08-11,2007-05-19,2.735,0.4379,0.2582,0.3039
bundesliga,0708,306,2007-08-10,2008-05-17,2.81,0.4673,0.2549,0.2778
bundesliga,0809,306,2008-08-15,2009-05-23,2.922,0.4804,0.2418,0.2778
bundesliga,0910,306,2009-08-07,2010-05-08,2.83,0.4085,0.281,0.3105
bundesliga,1011,306,2010-08-20,2011-05-14,2.922,0.4608,0.2059,0.3333
bundesliga,1112,306,2011-08-05,2012-05-05,2.859,0.4542,0.2582,0.2876
bundesliga,1213,306,2012-08-24,2013-05-18,2.935,0.4248,0.2549,0.3203
bundesliga,1314,306,2013-08-09,2014-05-10,3.16,0.4739,0.2092,0.317
bundesliga,1415,306,2014-08-22,2015-05-23,2.755,0.4739,0.268,0.2582
bundesliga,1516,306,2015-08-14,2016-05-14,2.83,0.4412,0.232,0.3268
bundesliga,1617,306,2016-08-26,2017-05-20,2.866,0.4902,0.2418,0.268
bundesliga,1718,306,2017-08-18,2018-05-12,2.794,0.4542,0.2712,0.2745
bundesliga,1819,306,2018-08-24,2019-05-18,3.18,0.451,0.2386,0.3105
bundesliga,1920,306,2019-08-16,2020-06-27,3.209,0.402,0.2222,0.3758
bundesliga,2021,306,2020-09-18,2021-05-22,3.033,0.4216,0.2647,0.3137
bundesliga,2122,306,2021-08-13,2022-05-14,3.118,0.4673,0.2386,0.2941
bundesliga,2223,306,2022-08-05,2023-05-27,3.173,0.4739,0.2451,0.281
bundesliga,2324,306,2023-08-18,2024-05-18,3.219,0.4379,0.2647,0.2974
bundesliga,2425,306,2024-08-23,2025-05-17,3.134,0.3856,0.2516,0.3627
bundesliga,2526,197,2025-08-22,2026-02-15,3.188,0.4619,0.2335,0.3046
bundesliga,9394,306,1993-08-07,1994-05-07,2.925,0.4967,0.2712,0.232
bundesliga,9495,306,1994-08-19,1995-06-17,3.0,0.4804,0.281,0.2386
bundesliga,9596,306,1995-08-11,1996-05-18,2.716,0.402,0.3529,0.2451
bundesliga,9697,306,1996-08-16,1997-05-31,2.977,0.5098,0.2288,0.2614
bundesliga,9798,306,1997-08-01,1998-05-09,2.886,0.4739,0.2778,0.2484
bundesliga,9899,306,1998-08-14,1999-05-29,2.83,0.4706,0.2843,0.2451
bundesliga,9900,306,1999-08-13,2000-05-20,2.892,0.4673,0.2843,0.2484
la-liga,0001,380,2000-09-09,2001-06-17,2.882,0.5237,0.2605,0.2158
la-liga,0102,380,2001-08-25,2002-05-11,2.529,0.4895,0.2658,0.2447
la-liga,0203,380,2002-08-31,2003-06-22,2.674,0.4632,0.2763,0.2605
la-liga,0304,380,2003-08-30,2004-05-23,2.671,0.4526,0.25,0.2974
la-liga,0405,380,2004-08-28,2005-05-29,2.579,0.5053,0.2632,0.2316
la-liga,0506,380,2005-08-27,2006-05-20,2.463,0.4263,0.2763,0.2974
la-liga,0607,380,2006-08-26,2007-06-17,2.479,0.4526,0.2579,0.2895
la-liga,0708,380,2007-08-25,2008-05-18,2.687,0.4789,0.2289,0.2921
la-liga,0809,380,2008-08-30,2009-05-31,2.897,0.4842,0.2184,0.2974
la-liga,0910,380,2009-08-29,2010-05-16,2.713,0.5105,0.25,0.2395
la-liga,1011,380,2010-08-28,2011-05-21,2.742,0.5184,0.2079,0.2737
la-liga,1112,380,2011-08-27,2012-05-13,2.763,0.4947,0.2474,0.2579
la-liga,1213,380,2012-08-18,2013-06-01,2.871,0.4974,0.2211,0.2816
la-liga,1314,380,2013-08-17,2014-05-18,2.75,0.4711,0.2263,0.3026
la-liga,1415,380,2014-08-23,2015-05-23,2.655,0.45,0.2395,0.3105
la-liga,1516,380,2015-08-21,2016-05-15,2.745,0.4816,0.2421,0.2763
la-liga,1617,380,2016-08-19,2017-05-21,2.942,0.4763,0.2342,0.2895
la-liga,1718,380,2017-08-18,2018-05-20,2.695,0.4711,0.2263,0.3026
