match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2024-08-15,Ath Bilbao,Getafe,1,1,D,1.0,0.0,H,,7.0,9.0,4.0,2.0,15.0,12.0,5.0,6.0,4.0,1.0,0.0,0.0,la-liga,2425,0,2,0,1,0,2024,8
2024-08-15,Betis,Girona,1,1,D,1.0,0.0,H,,19.0,13.0,4.0,2.0,11.0,7.0,4.0,4.0,2.0,0.0,0.0,0.0,la-liga,2425,0,2,0,1,0,2024,8
2024-08-16,Celta,Alaves,2,1,H,0.0,1.0,A,,6.0,10.0,4.0,2.0,8.0,23.0,3.0,3.0,3.0,2.0,0.0,0.0,la-liga,2425,1,3,1,0,0,2024,8
2024-08-16,Las Palmas,Sevilla,2,2,D,1.0,1.0,D,,13.0,16.0,5.0,5.0,12.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,la-liga,2425,0,4,0,1,0,2024,8
2024-08-17,Osasuna,Leganes,1,1,D,0.0,1.0,A,,16.0,10.0,5.0,4.0,14.0,12.0,6.0,4.0,3.0,2.0,0.0,0.0,la-liga,2425,0,2,0,1,0,2024,8
2024-08-17,Valencia,Barcelona,1,2,A,1.0,1.0,D,,6.0,18.0,1.0,8.0,11.0,13.0,3.0,8.0,2.0,3.0,0.0,0.0,la-liga,2425,-1,3,0,0,1,2024,8
2024-08-18,Mallorca,Real Madrid,1,1,D,0.0,1.0,A,,12.0,13.0,5.0,4.0,11.0,6.0,8.0,7.0,1.0,0.0,0.0,1.0,la-liga,2425,0,2,0,1,0,2024,8
2024-08-18,Sociedad,Vallecano,1,2,A,0.0,0.0,D,,11.0,12.0,5.0,5.0,14.0,21.0,10.0,5.0,2.0,4.0,0.0,0.0,la-liga,2425,-1,3,0,0,1,2024,8
2024-08-19,Valladolid,Espanol,1,0,H,1.0,0.0,H,,12.0,10.0,3.0,2.0,15.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,la-liga,2425,1,1,1,0,0,2024,8
2024-08-19,Villarreal,Ath Madrid,2,2,D,2.0,2.0,D,,8.0,10.0,3.0,5.0,6.0,10.0,2.0,3.0,1.0,3.0,0.0,0.0,la-liga,2425,0,4,0,1,0,2024,8
2024-08-23,Celta,Valencia,3,1,H,2.0,1.0,H,,7.0,13.0,5.0,5.0,9.0,11.0,4.0,7.0,3.0,0.0,0.0,0.0,la-liga,2425,2,4,1,0,0,2024,8
2024-08-23,Sevilla,Villarreal,1,2,A,1.0,1.0,D,,15.0,6.0,9.0,5.0,15.0,7.0,7.0,2.0,3.0,5.0,0.0,0.0,la-liga,2425,-1,3,0,0,1,2024,8
2024-08-24,Barcelona,Ath Bilbao,2,1,H,1.0,1.0,D,,13.0,9.0,5.0,2.0,11.0,16.0,5.0,6.0,4.0,5.0,0.0,0.0,la-liga,2425,1,3,1,0,0,2024,8
2024-08-24,Espanol,Sociedad,0,1,A,0.0,0.0,D,,13.0,8.0,3.0,4.0,14.0,18.0,7.0,4.0,2.0,2.0,0.0,0.0,la-liga,2425,-1,1,0,0,1,2024,8
2024-08-24,Getafe,Vallecano,0,0,D,0.0,0.0,D,,12.0,3.0,0.0,1.0,16.0,18.0,3.0,2.0,1.0,2.0,0.0,0.0,la-liga,2425,0,0,0,1,0,2024,8
2024-08-24,Osasuna,Mallorca,1,0,H,0.0,0.0,D,,15.0,11.0,5.0,2.0,10.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0,la-liga,2425,1,1,1,0,0,2024,8
2024-08-25,Alaves,Betis,0,0,D,0.0,0.0,D,,3.0,13.0,1.0,3.0,16.0,13.0,3.0,8.0,1.0,4.0,1.0,0.0,la-liga,2425,0,0,0,1,0,2024,8
2024-08-25,Ath Madrid,Girona,3,0,H,1.0,0.0,H,,11.0,13.0,6.0,5.0,11.0,10.0,1.0,9.0,1.0,3.0,0.0,0.0,la-liga,2425,3,3,1,0,0,2024,8
2024-08-25,Leganes,Las Palmas,2,1,H,0.0,0.0,D,,10.0,10.0,5.0,5.0,11.0,10.0,3.0,7.0,1.0,1.0,0.0,0.0,la-liga,2425,1,3,1,0,0,2024,8
2024-08-25,Real Madrid,Valladolid,3,0,H,0.0,0.0,D,,17.0,8.0,9.0,2.0,10.0,15.0,5.0,5.0,1.0,1.0,0.0,0.0,la-liga,2425,3,3,1,0,0,2024,8
2024-08-26,Villarreal,Celta,4,3,H,1.0,2.0,A,,22.0,18.0,9.0,8.0,8.0,6.0,7.0,4.0,4.0,3.0,0.0,0.0,la-liga,2425,1,7,1,0,0,2024,8
2024-08-27,Mallorca,Sevilla,0,0,D,0.0,0.0,D,,12.0,16.0,4.0,7.0,15.0,10.0,5.0,9.0,0.0,1.0,0.0,1.0,la-liga,2425,0,0,0,1,0,2024,8
2024-08-27,Vallecano,Barcelona,1,2,A,1.0,0.0,H,,8.0,22.0,4.0,5.0,17.0,11.0,6.0,6.0,3.0,1.0,0.0,0.0,la-liga,2425,-1,3,0,0,1,2024,8
2024-08-28,Ath Bilbao,Valencia,1,0,H,1.0,0.0,H,,13.0,2.0,4.0,0.0,14.0,9.0,5.0,3.0,1.0,3.0,0.0,0.0,la-liga,2425,1,1,1,0,0,2024,8
