match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2019-08-09,Monaco,Lyon,0,3,A,0.0,2.0,A,,7.0,13.0,1.0,3.0,10.0,17.0,2.0,5.0,2.0,2.0,1.0,0.0,ligue-1,1920,-3,3,0,0,1,2019,8
2019-08-10,Angers,Bordeaux,3,1,H,3.0,1.0,H,,14.0,8.0,4.0,3.0,11.0,15.0,4.0,3.0,2.0,1.0,0.0,0.0,ligue-1,1920,2,4,1,0,0,2019,8
2019-08-10,Brest,Toulouse,1,1,D,1.0,0.0,H,,16.0,13.0,5.0,3.0,11.0,14.0,4.0,7.0,0.0,0.0,0.0,0.0,ligue-1,1920,0,2,0,1,0,2019,8
2019-08-10,Dijon,St Etienne,1,2,A,1.0,2.0,A,,15.0,12.0,7.0,4.0,17.0,10.0,12.0,5.0,0.0,2.0,0.0,0.0,ligue-1,1920,-1,3,0,0,1,2019,8
2019-08-10,Marseille,Reims,0,2,A,0.0,0.0,D,,10.0,8.0,2.0,5.0,18.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,ligue-1,1920,-2,2,0,0,1,2019,8
2019-08-10,Montpellier,Rennes,0,1,A,0.0,1.0,A,,24.0,9.0,5.0,3.0,20.0,19.0,7.0,1.0,3.0,3.0,0.0,1.0,ligue-1,1920,-1,1,0,0,1,2019,8
2019-08-10,Nice,Amiens,2,1,H,1.0,0.0,H,,17.0,8.0,6.0,2.0,10.0,8.0,7.0,3.0,3.0,4.0,0.0,1.0,ligue-1,1920,1,3,1,0,0,2019,8
2019-08-11,Lille,Nantes,2,1,H,1.0,0.0,H,,13.0,13.0,3.0,3.0,13.0,17.0,5.0,11.0,2.0,4.0,0.0,0.0,ligue-1,1920,1,3,1,0,0,2019,8
2019-08-11,Paris SG,Nimes,3,0,H,1.0,0.0,H,,12.0,5.0,5.0,1.0,17.0,8.0,2.0,6.0,2.0,0.0,0.0,0.0,ligue-1,1920,3,3,1,0,0,2019,8
2019-08-11,Strasbourg,Metz,1,1,D,1.0,0.0,H,,13.0,7.0,2.0,3.0,6.0,12.0,3.0,4.0,0.0,1.0,0.0,0.0,ligue-1,1920,0,2,0,1,0,2019,8
2019-08-16,Lyon,Angers,6,0,H,3.0,0.0,H,,11.0,10.0,9.0,3.0,7.0,14.0,2.0,5.0,1.0,2.0,0.0,0.0,ligue-1,1920,6,6,1,0,0,2019,8
2019-08-17,Amiens,Lille,1,0,H,0.0,0.0,D,,8.0,10.0,3.0,1.0,13.0,7.0,3.0,10.0,1.0,1.0,0.0,1.0,ligue-1,1920,1,1,1,0,0,2019,8
2019-08-17,Bordeaux,Montpellier,1,1,D,0.0,1.0,A,,13.0,10.0,4.0,4.0,15.0,21.0,3.0,5.0,2.0,1.0,0.0,0.0,ligue-1,1920,0,2,0,1,0,2019,8
2019-08-17,Metz,Monaco,3,0,H,1.0,0.0,H,,18.0,12.0,10.0,6.0,16.0,7.0,6.0,4.0,1.0,2.0,0.0,1.0,ligue-1,1920,3,3,1,0,0,2019,8
2019-08-17,Nantes,Marseille,0,0,D,0.0,0.0,D,,13.0,9.0,6.0,2.0,16.0,18.0,7.0,3.0,0.0,3.0,0.0,0.0,ligue-1,1920,0,0,0,1,0,2019,8
2019-08-17,Nimes,Nice,1,2,A,1.0,2.0,A,,18.0,6.0,5.0,3.0,21.0,12.0,2.0,1.0,5.0,5.0,2.0,1.0,ligue-1,1920,-1,3,0,0,1,2019,8
