match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
1993-07-23,Nantes,Monaco,1,0,H,,,,,,,,,,,,,,,,,ligue-1,9394,1,1,1,0,0,1993,7
1993-07-24,Bordeaux,Paris SG,1,0,H,,,,,,,,,,,,,,,,,ligue-1,9394,1,1,1,0,0,1993,7
1993-07-24,Caen,Metz,1,1,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,2,0,1,0,1993,7
1993-07-24,Lille,Martigues,1,1,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,2,0,1,0,1993,7
1993-07-24,Marseille,Lens,1,0,H,,,,,,,,,,,,,,,,,ligue-1,9394,1,1,1,0,0,1993,7
1993-07-24,Montpellier,Lyon,1,1,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,2,0,1,0,1993,7
1993-07-24,Sochaux,Angers,4,1,H,,,,,,,,,,,,,,,,,ligue-1,9394,3,5,1,0,0,1993,7
1993-07-24,St Etienne,Cannes,1,2,A,,,,,,,,,,,,,,,,,ligue-1,9394,-1,3,0,0,1,1993,7
1993-07-24,Strasbourg,Auxerre,1,1,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,2,0,1,0,1993,7
1993-07-24,Toulouse,Le Havre,0,0,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,0,0,1,0,1993,7
1993-07-31,Auxerre,Montpellier,3,1,H,,,,,,,,,,,,,,,,,ligue-1,9394,2,4,1,0,0,1993,7
1993-07-31,Le Havre,Bordeaux,0,3,A,,,,,,,,,,,,,,,,,ligue-1,9394,-3,3,0,0,1,1993,7
1993-07-31,Lens,Strasbourg,0,0,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,0,0,1,0,1993,7
1993-07-31,Lyon,Caen,2,0,H,,,,,,,,,,,,,,,,,ligue-1,9394,2,2,1,0,0,1993,7
1993-07-31,Martigues,Sochaux,1,1,D,,,,,,,,,,,,,,,,,ligue-1,9394,0,2,0,1,0,1993,7
