match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2014-08-16,Arsenal,Crystal Palace,2,1,H,1.0,1.0,D,J Moss,14.0,4.0,6.0,2.0,13.0,19.0,9.0,3.0,2.0,2.0,0.0,1.0,premier-league,1415,1,3,1,0,0,2014,8
2014-08-16,Leicester,Everton,2,2,D,1.0,2.0,A,M Jones,11.0,13.0,3.0,3.0,16.0,10.0,3.0,6.0,1.0,1.0,0.0,0.0,premier-league,1415,0,4,0,1,0,2014,8
2014-08-16,Man United,Swansea,1,2,A,0.0,1.0,A,M Dean,14.0,5.0,5.0,4.0,14.0,20.0,4.0,0.0,2.0,4.0,0.0,0.0,premier-league,1415,-1,3,0,0,1,2014,8
2014-08-16,QPR,Hull,0,1,A,0.0,0.0,D,C Pawson,19.0,11.0,6.0,4.0,10.0,10.0,8.0,9.0,1.0,2.0,0.0,0.0,premier-league,1415,-1,1,0,0,1,2014,8
2014-08-16,Stoke,Aston Villa,0,1,A,0.0,0.0,D,A Taylor,12.0,7.0,2.0,2.0,14.0,9.0,2.0,8.0,0.0,3.0,0.0,0.0,premier-league,1415,-1,1,0,0,1,2014,8
2014-08-16,West Brom,Sunderland,2,2,D,1.0,1.0,D,N Swarbrick,10.0,7.0,5.0,2.0,18.0,9.0,6.0,3.0,3.0,1.0,0.0,0.0,premier-league,1415,0,4,0,1,0,2014,8
2014-08-16,West Ham,Tottenham,0,1,A,0.0,0.0,D,C Foy,18.0,10.0,4.0,4.0,12.0,10.0,8.0,5.0,1.0,0.0,1.0,1.0,premier-league,1415,-1,1,0,0,1,2014,8
2014-08-17,Liverpool,Southampton,2,1,H,1.0,0.0,H,M Clattenburg,12.0,12.0,5.0,6.0,8.0,11.0,2.0,6.0,1.0,2.0,0.0,0.0,premier-league,1415,1,3,1,0,0,2014,8
2014-08-17,Newcastle,Man City,0,2,A,0.0,1.0,A,M Atkinson,12.0,13.0,0.0,5.0,8.0,11.0,3.0,3.0,1.0,5.0,0.0,0.0,premier-league,1415,-2,2,0,0,1,2014,8
2014-08-18,Burnley,Chelsea,1,3,A,1.0,3.0,A,M Oliver,9.0,11.0,2.0,3.0,6.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,premier-league,1415,-2,4,0,0,1,2014,8
