match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2015-08-22,Lazio,Bologna,2,1,H,2.0,1.0,H,,21.0,9.0,9.0,4.0,18.0,8.0,10.0,3.0,2.0,1.0,0.0,0.0,serie-a,1516,1,3,1,0,0,2015,8
2015-08-22,Verona,Roma,1,1,D,0.0,0.0,D,,12.0,21.0,7.0,8.0,9.0,11.0,3.0,7.0,2.0,1.0,0.0,0.0,serie-a,1516,0,2,0,1,0,2015,8
2015-08-23,Empoli,Chievo,1,3,A,1.0,0.0,H,,15.0,12.0,5.0,3.0,15.0,19.0,8.0,5.0,1.0,2.0,0.0,0.0,serie-a,1516,-2,4,0,0,1,2015,8
2015-08-23,Fiorentina,Milan,2,0,H,1.0,0.0,H,,13.0,8.0,7.0,0.0,18.0,16.0,4.0,5.0,3.0,2.0,0.0,1.0,serie-a,1516,2,2,1,0,0,2015,8
2015-08-23,Frosinone,Torino,1,2,A,1.0,0.0,H,,13.0,26.0,3.0,7.0,10.0,11.0,3.0,12.0,2.0,2.0,0.0,0.0,serie-a,1516,-1,3,0,0,1,2015,8
2015-08-23,Inter,Atalanta,1,0,H,0.0,0.0,D,,21.0,4.0,7.0,0.0,14.0,12.0,9.0,1.0,2.0,2.0,0.0,1.0,serie-a,1516,1,1,1,0,0,2015,8
2015-08-23,Juventus,Udinese,0,1,A,0.0,0.0,D,,21.0,6.0,5.0,2.0,14.0,22.0,10.0,2.0,1.0,3.0,0.0,0.0,serie-a,1516,-1,1,0,0,1,2015,8
2015-08-23,Palermo,Genoa,1,0,H,0.0,0.0,D,,19.0,11.0,6.0,3.0,10.0,13.0,5.0,6.0,1.0,1.0,0.0,0.0,serie-a,1516,1,1,1,0,0,2015,8
2015-08-23,Sampdoria,Carpi,5,2,H,5.0,1.0,H,,10.0,24.0,7.0,7.0,15.0,16.0,4.0,8.0,1.0,3.0,1.0,0.0,serie-a,1516,3,7,1,0,0,2015,8
2015-08-23,Sassuolo,Napoli,2,1,H,1.0,1.0,D,,16.0,15.0,6.0,3.0,13.0,21.0,5.0,1.0,4.0,2.0,0.0,0.0,serie-a,1516,1,3,1,0,0,2015,8
2015-08-29,Bologna,Sassuolo,0,1,A,0.0,0.0,D,,6.0,9.0,2.0,2.0,15.0,13.0,11.0,5.0,3.0,1.0,0.0,0.0,serie-a,1516,-1,1,0,0,1,2015,8
2015-08-29,Milan,Empoli,2,1,H,1.0,1.0,D,,6.0,18.0,4.0,3.0,20.0,16.0,6.0,5.0,0.0,2.0,0.0,0.0,serie-a,1516,1,3,1,0,0,2015,8
2015-08-30,Atalanta,Frosinone,2,0,H,1.0,0.0,H,,25.0,14.0,11.0,4.0,9.0,13.0,9.0,2.0,1.0,4.0,0.0,0.0,serie-a,1516,2,2,1,0,0,2015,8
2015-08-30,Carpi,Inter,1,2,A,0.0,1.0,A,,10.0,12.0,5.0,5.0,11.0,17.0,2.0,6.0,3.0,4.0,0.0,0.0,serie-a,1516,-1,3,0,0,1,2015,8
2015-08-30,Chievo,Lazio,4,0,H,3.0,0.0,H,,8.0,13.0,5.0,2.0,11.0,14.0,2.0,8.0,0.0,1.0,0.0,0.0,serie-a,1516,4,4,1,0,0,2015,8
