match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2019-08-16,Bayern Munich,Hertha,2,2,D,1.0,2.0,A,,17.0,6.0,7.0,3.0,6.0,17.0,12.0,0.0,3.0,3.0,0.0,0.0,bundesliga,1920,0,4,0,1,0,2019,8
2019-08-17,Dortmund,Augsburg,5,1,H,1.0,1.0,D,,23.0,5.0,10.0,1.0,8.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,bundesliga,1920,4,6,1,0,0,2019,8
2019-08-17,Freiburg,Mainz,3,0,H,0.0,0.0,D,,19.0,19.0,8.0,5.0,6.0,15.0,5.0,5.0,1.0,3.0,0.0,0.0,bundesliga,1920,3,3,1,0,0,2019,8
2019-08-17,Leverkusen,Paderborn,3,2,H,2.0,2.0,D,,13.0,11.0,4.0,6.0,8.0,9.0,6.0,6.0,2.0,0.0,0.0,0.0,bundesliga,1920,1,5,1,0,0,2019,8
2019-08-17,M'gladbach,Schalke 04,0,0,D,0.0,0.0,D,,16.0,8.0,4.0,1.0,8.0,10.0,8.0,3.0,3.0,2.0,0.0,0.0,bundesliga,1920,0,0,0,1,0,2019,8
2019-08-17,Werder Bremen,Fortuna Dusseldorf,1,3,A,0.0,1.0,A,,23.0,12.0,10.0,7.0,8.0,13.0,14.0,5.0,0.0,2.0,0.0,0.0,bundesliga,1920,-2,4,0,0,1,2019,8
2019-08-17,Wolfsburg,FC Koln,2,1,H,1.0,0.0,H,,14.0,11.0,5.0,2.0,14.0,18.0,2.0,6.0,1.0,3.0,0.0,0.0,bundesliga,1920,1,3,1,0,0,2019,8
2019-08-18,Ein Frankfurt,Hoffenheim,1,0,H,1.0,0.0,H,,17.0,10.0,8.0,1.0,16.0,9.0,10.0,5.0,3.0,1.0,0.0,0.0,bundesliga,1920,1,1,1,0,0,2019,8
2019-08-18,Union Berlin,RB Leipzig,0,4,A,0.0,3.0,A,,13.0,14.0,2.0,8.0,14.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,bundesliga,1920,-4,4,0,0,1,2019,8
2019-08-23,FC Koln,Dortmund,1,3,A,1.0,0.0,H,,13.0,14.0,1.0,6.0,11.0,10.0,7.0,8.0,2.0,1.0,0.0,0.0,bundesliga,1920,-2,4,0,0,1,2019,8
2019-08-24,Augsburg,Union Berlin,1,1,D,0.0,0.0,D,,12.0,13.0,4.0,1.0,16.0,19.0,3.0,4.0,3.0,1.0,0.0,1.0,bundesliga,1920,0,2,0,1,0,2019,8
2019-08-24,Fortuna Dusseldorf,Leverkusen,1,3,A,0.0,3.0,A,,11.0,11.0,6.0,7.0,14.0,10.0,1.0,5.0,3.0,2.0,0.0,0.0,bundesliga,1920,-2,4,0,0,1,2019,8
2019-08-24,Hoffenheim,Werder Bremen,3,2,H,0.0,1.0,A,,10.0,18.0,3.0,6.0,13.0,15.0,3.0,6.0,2.0,5.0,0.0,1.0,bundesliga,1920,1,5,1,0,0,2019,8
2019-08-24,Mainz,M'gladbach,1,3,A,1.0,1.0,D,,21.0,15.0,4.0,6.0,12.0,14.0,3.0,5.0,2.0,2.0,0.0,0.0,bundesliga,1920,-2,4,0,0,1,2019,8
2019-08-24,Paderborn,Freiburg,1,3,A,1.0,2.0,A,,15.0,9.0,2.0,4.0,20.0,6.0,9.0,5.0,3.0,1.0,0.0,0.0,bundesliga,1920,-2,4,0,0,1,2019,8
