match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2007-08-25,Real Madrid,Ath Madrid,2,1,H,1.0,1.0,D,,20.0,20.0,7.0,9.0,24.0,20.0,13.0,4.0,3.0,2.0,0.0,0.0,la-liga,0708,1,3,1,0,0,2007,8
2007-08-25,Sevilla,Getafe,4,1,H,0.0,1.0,A,,29.0,7.0,10.0,3.0,12.0,17.0,8.0,4.0,1.0,2.0,0.0,2.0,la-liga,0708,3,5,1,0,0,2007,8
2007-08-26,Ath Bilbao,Osasuna,0,0,D,0.0,0.0,D,,14.0,10.0,2.0,2.0,16.0,16.0,6.0,4.0,3.0,2.0,1.0,0.0,la-liga,0708,0,0,0,1,0,2007,8
2007-08-26,Espanol,Valladolid,0,1,A,0.0,0.0,D,,7.0,17.0,3.0,5.0,17.0,21.0,8.0,4.0,3.0,2.0,0.0,0.0,la-liga,0708,-1,1,0,0,1,2007,8
2007-08-26,La Coruna,Almeria,0,3,A,0.0,2.0,A,,7.0,13.0,0.0,7.0,9.0,20.0,6.0,5.0,0.0,2.0,0.0,0.0,la-liga,0708,-3,3,0,0,1,2007,8
2007-08-26,Mallorca,Levante,3,0,H,1.0,0.0,H,,8.0,5.0,5.0,1.0,11.0,25.0,4.0,1.0,0.0,3.0,0.0,0.0,la-liga,0708,3,3,1,0,0,2007,8
2007-08-26,Murcia,Zaragoza,2,1,H,1.0,1.0,D,,8.0,5.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,la-liga,0708,1,3,1,0,0,2007,8
2007-08-26,Recreativo,Betis,1,1,D,1.0,1.0,D,,15.0,13.0,4.0,4.0,16.0,14.0,7.0,4.0,0.0,2.0,0.0,0.0,la-liga,0708,0,2,0,1,0,2007,8
2007-08-26,Santander,Barcelona,0,0,D,0.0,0.0,D,,14.0,13.0,5.0,3.0,13.0,11.0,4.0,8.0,1.0,1.0,1.0,0.0,la-liga,0708,0,0,0,1,0,2007,8
2007-08-26,Valencia,Villarreal,0,3,A,0.0,1.0,A,,4.0,7.0,1.0,6.0,16.0,13.0,5.0,0.0,1.0,1.0,2.0,0.0,la-liga,0708,-3,3,0,0,1,2007,8
2007-09-01,Levante,Murcia,0,0,D,0.0,0.0,D,,3.0,7.0,0.0,2.0,21.0,32.0,4.0,4.0,5.0,3.0,0.0,0.0,la-liga,0708,0,0,0,1,0,2007,9
