match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2025-08-15,Rennes,Marseille,1,0,H,0.0,0.0,D,,12.0,24.0,5.0,2.0,8.0,11.0,1.0,12.0,2.0,3.0,1.0,0.0,ligue-1,2526,1,1,1,0,0,2025,8
2025-08-16,Lens,Lyon,0,1,A,0.0,1.0,A,,18.0,11.0,5.0,3.0,13.0,20.0,13.0,8.0,2.0,3.0,0.0,0.0,ligue-1,2526,-1,1,0,0,1,2025,8
2025-08-16,Monaco,Le Havre,3,1,H,1.0,0.0,H,,13.0,9.0,3.0,4.0,5.0,14.0,5.0,4.0,0.0,1.0,0.0,0.0,ligue-1,2526,2,4,1,0,0,2025,8
2025-08-16,Nice,Toulouse,0,1,A,0.0,0.0,D,,13.0,10.0,2.0,2.0,12.0,13.0,9.0,4.0,2.0,3.0,0.0,0.0,ligue-1,2526,-1,1,0,0,1,2025,8
2025-08-17,Angers,Paris FC,1,0,H,1.0,0.0,H,,8.0,17.0,2.0,7.0,14.0,10.0,3.0,7.0,2.0,1.0,1.0,0.0,ligue-1,2526,1,1,1,0,0,2025,8
2025-08-17,Auxerre,Lorient,1,0,H,0.0,0.0,D,,7.0,14.0,3.0,3.0,18.0,14.0,4.0,5.0,3.0,2.0,0.0,0.0,ligue-1,2526,1,1,1,0,0,2025,8
2025-08-17,Brest,Lille,3,3,D,1.0,2.0,A,,18.0,10.0,5.0,6.0,11.0,13.0,2.0,2.0,2.0,1.0,0.0,0.0,ligue-1,2526,0,6,0,1,0,2025,8
2025-08-17,Metz,Strasbourg,0,1,A,0.0,0.0,D,,2.0,9.0,0.0,4.0,16.0,13.0,3.0,3.0,2.0,2.0,0.0,0.0,ligue-1,2526,-1,1,0,0,1,2025,8
2025-08-17,Nantes,Paris SG,0,1,A,0.0,0.0,D,,6.0,18.0,0.0,4.0,6.0,6.0,2.0,7.0,1.0,1.0,0.0,0.0,ligue-1,2526,-1,1,0,0,1,2025,8
2025-08-22,Paris SG,Angers,1,0,H,0.0,0.0,D,,21.0,3.0,4.0,0.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,ligue-1,2526,1,1,1,0,0,2025,8
2025-08-23,Lyon,Metz,3,0,H,2.0,0.0,H,,13.0,11.0,8.0,2.0,13.0,15.0,4.0,3.0,0.0,2.0,0.0,0.0,ligue-1,2526,3,3,1,0,0,2025,8
2025-08-23,Marseille,Paris FC,5,2,H,2.0,1.0,H,,12.0,8.0,7.0,4.0,9.0,12.0,5.0,2.0,1.0,0.0,0.0,0.0,ligue-1,2526,3,7,1,0,0,2025,8
2025-08-23,Nice,Auxerre,3,1,H,2.0,1.0,H,,16.0,12.0,6.0,8.0,10.0,15.0,5.0,4.0,2.0,2.0,0.0,1.0,ligue-1,2526,2,4,1,0,0,2025,8
