match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2004-08-14,Aston Villa,Southampton,2,0,H,2.0,0.0,H,U Rennie,14.0,6.0,5.0,2.0,14.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,premier-league,0405,2,2,1,0,0,2004,8
2004-08-14,Blackburn,West Brom,1,1,D,0.0,1.0,A,C Foy,12.0,4.0,4.0,2.0,15.0,17.0,4.0,5.0,1.0,0.0,0.0,0.0,premier-league,0405,0,2,0,1,0,2004,8
2004-08-14,Bolton,Charlton,4,1,H,2.0,0.0,H,P Dowd,21.0,9.0,11.0,5.0,10.0,12.0,9.0,5.0,1.0,1.0,0.0,0.0,premier-league,0405,3,5,1,0,0,2004,8
2004-08-14,Man City,Fulham,1,1,D,1.0,0.0,H,M Messias,12.0,4.0,5.0,2.0,14.0,12.0,9.0,4.0,0.0,2.0,0.0,0.0,premier-league,0405,0,2,0,1,0,2004,8
2004-08-14,Middlesbrough,Newcastle,2,2,D,0.0,1.0,A,S Bennett,15.0,11.0,8.0,4.0,16.0,13.0,6.0,7.0,3.0,1.0,0.0,0.0,premier-league,0405,0,4,0,1,0,2004,8
2004-08-14,Norwich,Crystal Palace,1,1,D,1.0,0.0,H,P Walton,14.0,14.0,10.0,8.0,14.0,16.0,6.0,11.0,0.0,1.0,0.0,0.0,premier-league,0405,0,2,0,1,0,2004,8
2004-08-14,Portsmouth,Birmingham,1,1,D,1.0,1.0,D,H Webb,14.0,16.0,8.0,11.0,13.0,16.0,8.0,4.0,2.0,4.0,0.0,0.0,premier-league,0405,0,2,0,1,0,2004,8
2004-08-14,Tottenham,Liverpool,1,1,D,0.0,1.0,A,D Gallagher,14.0,16.0,7.0,8.0,17.0,11.0,3.0,8.0,3.0,1.0,0.0,0.0,premier-league,0405,0,2,0,1,0,2004,8
2004-08-15,Chelsea,Man United,1,0,H,1.0,0.0,H,G Poll,8.0,11.0,5.0,3.0,17.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,premier-league,0405,1,1,1,0,0,2004,8
2004-08-15,Everton,Arsenal,1,4,A,0.0,2.0,A,M Riley,9.0,18.0,5.0,14.0,14.0,19.0,0.0,7.0,2.0,1.0,0.0,0.0,premier-league,0405,-3,5,0,0,1,2004,8
2004-08-21,Birmingham,Chelsea,0,1,A,0.0,0.0,D,B Knight,9.0,7.0,3.0,3.0,10.0,16.0,8.0,2.0,0.0,0.0,0.0,0.0,premier-league,0405,-1,1,0,0,1,2004,8
2004-08-21,Charlton,Portsmouth,2,1,H,1.0,0.0,H,A Wiley,18.0,10.0,14.0,6.0,9.0,11.0,5.0,6.0,0.0,1.0,0.0,0.0,premier-league,0405,1,3,1,0,0,2004,8
2004-08-21,Crystal Palace,Everton,1,3,A,1.0,1.0,D,M Clattenburg,15.0,14.0,9.0,7.0,6.0,18.0,6.0,6.0,1.0,1.0,0.0,1.0,premier-league,0405,-2,4,0,0,1,2004,8
2004-08-21,Fulham,Bolton,2,0,H,1.0,0.0,H,R Styles,23.0,10.0,12.0,4.0,11.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,premier-league,0405,2,2,1,0,0,2004,8
2004-08-21,Liverpool,Man City,2,1,H,0.0,1.0,A,G Poll,15.0,7.0,10.0,4.0,9.0,17.0,8.0,3.0,1.0,3.0,0.0,1.0,premier-league,0405,1,3,1,0,0,2004,8
2004-08-21,Man United,Norwich,2,1,H,1.0,0.0,H,N Barry,17.0,7.0,7.0,2.0,8.0,23.0,11.0,5.0,0.0,1.0,0.0,0.0,premier-league,0405,1,3,1,0,0,2004,8
