match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2023-08-19,Empoli,Verona,0,1,A,0.0,0.0,D,,10.0,10.0,4.0,4.0,17.0,18.0,2.0,4.0,2.0,2.0,0.0,0.0,serie-a,2324,-1,1,0,0,1,2023,8
2023-08-19,Frosinone,Napoli,1,3,A,1.0,2.0,A,,4.0,19.0,1.0,8.0,14.0,17.0,4.0,6.0,3.0,3.0,0.0,0.0,serie-a,2324,-2,4,0,0,1,2023,8
2023-08-19,Genoa,Fiorentina,1,4,A,0.0,3.0,A,,4.0,9.0,2.0,5.0,14.0,13.0,3.0,4.0,2.0,3.0,0.0,0.0,serie-a,2324,-3,5,0,0,1,2023,8
2023-08-19,Inter,Monza,2,0,H,1.0,0.0,H,,22.0,12.0,3.0,2.0,8.0,13.0,8.0,3.0,1.0,1.0,0.0,0.0,serie-a,2324,2,2,1,0,0,2023,8
2023-08-20,Lecce,Lazio,2,1,H,0.0,1.0,A,,23.0,10.0,7.0,4.0,12.0,16.0,5.0,2.0,3.0,2.0,0.0,0.0,serie-a,2324,1,3,1,0,0,2023,8
2023-08-20,Roma,Salernitana,2,2,D,1.0,1.0,D,,13.0,3.0,3.0,2.0,12.0,9.0,9.0,1.0,0.0,4.0,0.0,0.0,serie-a,2324,0,4,0,1,0,2023,8
2023-08-20,Sassuolo,Atalanta,0,2,A,0.0,0.0,D,,11.0,16.0,3.0,6.0,9.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,serie-a,2324,-2,2,0,0,1,2023,8
2023-08-20,Udinese,Juventus,0,3,A,0.0,3.0,A,,18.0,9.0,5.0,4.0,12.0,10.0,7.0,3.0,1.0,3.0,0.0,0.0,serie-a,2324,-3,3,0,0,1,2023,8
2023-08-21,Bologna,Milan,0,2,A,0.0,2.0,A,,17.0,10.0,5.0,6.0,10.0,4.0,3.0,6.0,2.0,2.0,0.0,0.0,serie-a,2324,-2,2,0,0,1,2023,8
2023-08-21,Torino,Cagliari,0,0,D,0.0,0.0,D,,11.0,8.0,2.0,2.0,8.0,12.0,8.0,3.0,1.0,1.0,0.0,0.0,serie-a,2324,0,0,0,1,0,2023,8
