Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-08-27,Fiorentina,Sampdoria,2,1,H,2.0,0.0,H,2005-2006,15.0,9.0,9.0,4.0,18.0,23.0,9.0,3.0,1.0,4.0,0.0,0.0
2005-08-27,Livorno,Lecce,2,1,H,1.0,1.0,D,2005-2006,17.0,6.0,7.0,5.0,27.0,21.0,9.0,2.0,2.0,3.0,0.0,0.0
2005-08-28,Ascoli,Milan,1,1,D,0.0,0.0,D,2005-2006,8.0,16.0,3.0,9.0,22.0,16.0,0.0,5.0,2.0,1.0,0.0,0.0
2005-08-28,Inter,Treviso,3,0,H,1.0,0.0,H,2005-2006,16.0,7.0,9.0,3.0,13.0,20.0,6.0,1.0,1.0,3.0,0.0,0.0
2005-08-28,Juventus,Chievo,1,0,H,1.0,0.0,H,2005-2006,16.0,2.0,7.0,0.0,16.0,12.0,6.0,2.0,1.0,2.0,0.0,0.0
2005-08-28,Lazio,Messina,1,0,H,1.0,0.0,H,2005-2006,7.0,16.0,4.0,7.0,18.0,20.0,6.0,10.0,3.0,1.0,0.0,0.0
2005-08-28,Parma,Palermo,1,1,D,0.0,1.0,A,2005-2006,8.0,14.0,3.0,9.0,18.0,9.0,3.0,8.0,3.0,0.0,0.0,0.0
2005-08-28,Reggina,Roma,0,3,A,0.0,1.0,A,2005-2006,5.0,13.0,3.0,9.0,19.0,18.0,2.0,4.0,0.0,0.0,1.0,0.0
2005-08-28,Siena,Cagliari,2,1,H,1.0,1.0,D,2005-2006,10.0,9.0,6.0,6.0,21.0,19.0,4.0,4.0,2.0,2.0,1.0,0.0
2005-08-28,Udinese,Empoli,1,0,H,1.0,0.0,H,2005-2006,12.0,8.0,8.0,4.0,20.0,12.0,6.0,5.0,2.0,1.0,0.0,0.0
2005-09-10,Milan,Siena,3,1,H,2.0,1.0,H,2005-2006,21.0,7.0,11.0,3.0,7.0,16.0,3.0,4.0,1.0,2.0,0.0,0.0
2005-09-10,Palermo,Inter,3,2,H,1.0,0.0,H,2005-2006,24.0,15.0,13.0,6.0,15.0,14.0,9.0,6.0,2.0,1.0,0.0,0.0
2005-09-11,Cagliari,Lazio,1,1,D,1.0,1.0,D,2005-2006,9.0,6.0,3.0,3.0,12.0,16.0,6.0,6.0,2.0,2.0,1.0,0.0
2005-09-11,Chievo,Parma,1,0,H,1.0,0.0,H,2005-2006,12.0,5.0,8.0,2.0,16.0,15.0,9.0,2.0,1.0,1.0,0.0,0.0
2005-09-11,Empoli,Juventus,0,4,A,0.0,3.0,A,2005-2006,9.0,13.0,1.0,8.0,16.0,23.0,3.0,6.0,1.0,0.0,0.0,0.0
2005-09-11,Lecce,Ascoli,0,0,D,0.0,0.0,D,2005-2006,9.0,6.0,6.0,4.0,18.0,9.0,9.0,2.0,2.0,3.0,0.0,1.0
2005-09-11,Messina,Fiorentina,2,2,D,0.0,2.0,A,2005-2006,8.0,12.0,4.0,7.0,19.0,20.0,7.0,7.0,3.0,3.0,0.0,0.0
